No.,Object Name,RA-s,Dec-s,RA,Dec,Redshift (z),cz,z flag,Phys Type,EM Region,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
140,NGC 4350,12h23m57.8497s,+16d41m36.112s,185.9910404,16.6933646,0.004036,1209.962360488,UUN,G,"IR,UV,Xray",356,15,132,55,29,8,12,35,11,6
141,NGC 4352,12h24m05.0234s,+11d13m04.972s,186.0209309,11.2180478,0.0069481726,2083.00974236225,SLS,G,"IR,UV,Vis",187,1,122,45,32,16,9,19,10,3
142,NGC 4365,12h24m28.2845s,+07d19m03.622s,186.11785208333,7.31767277778,0.004146,1242.939530868,UUN,G,"IR,UV,Xray",725,16,149,62,50,7,48,51,42,6
143,IC 3292,12h24m48.3675s,+18d11m42.526s,186.2015316,18.1951461,0.002308,691.920993064,UUN,G,"IR,UV,Vis,Xray",96,1,61,35,16,6,7,8,3,0
144,NGC 4371,12h24m55.4252s,+11d42m14.999s,186.2309385,11.7041666,0.003112,932.954129296,UUN,G,"IR,UV,Xray",355,9,108,56,28,8,16,30,19,5
145,NGC 4377,12h25m12.3374s,+14d45m43.849s,186.3014062,14.7621804,0.004463,1337.973740054,UUN,G,"IR,Xray",261,8,82,42,27,7,15,34,9,3
146,NGC 4379,12h25m14.7510s,+15d36m26.794s,186.3114627,15.6074429,0.003582,1073.856584556,UUN,G,"IR,UV,Xray",252,5,104,44,25,8,15,30,13,4
147,NGC 4387,12h25m41.6778s,+12d48m38.101s,186.4236575,12.8105836,0.001793675,537.73023710315,SLS,G,"IR,Vis,Xray",416,12,186,43,33,16,16,30,31,5
148,IC 3328,12h25m57.9196s,+10d03m13.953s,186.491332,10.0538759,0.003338,1000.707224804,UUN,G,"IR,UV,Vis",166,1,104,51,28,14,10,13,3,1
149,VCC 0871,12h26m05.6448s,+12d33m34.653s,186.52352,12.559626,0.008284859,2483.73824379342,SLS,G,"UV,Vis",54,1,37,18,12,7,1,3,1,1
150,IC 3349,12h26m47.0783s,+12d27m14.259s,186.6961599,12.4539609,0.004643,1391.936382494,UUN,G,"IR,UV,Vis",95,0,79,31,23,12,1,4,3,2
151,NGC 4417,12h26m50.6199s,+09d35m03.481s,186.7109166,9.5843004,0.002762,828.026768996,UUN,G,"IR,Xray",301,6,101,49,31,8,16,30,15,4
152,IC 3363,12h27m03.0813s,+12d33m39.029s,186.7628388,12.5608414,0.0027700192,830.430864675194,SLS,G,"IR,UV,Vis",69,0,76,25,19,12,0,3,5,1
153,NGC 4431,12h27m27.3872s,+12d17m24.753s,186.8641137,12.2902094,0.003102,929.956204716,UUN,G,"IR,UV,Vis",181,3,68,40,22,10,4,17,13,1
154,NGC 4434,12h27m36.6869s,+08d09m15.797s,186.9028623,8.1543881,0.003569,1069.959282602,UUN,G,"IR,UV,Xray",275,2,117,44,27,11,20,27,11,2
155,UGC 07580,12h27m54.8421s,+08d05m25.612s,186.9785089,8.0904478,0.002024605,606.96130942909,SLS,G,"IR,UV,Vis",87,1,96,34,21,12,8,9,3,2
156,NGC 4442,12h28m03.9045s,+09d48m13.302s,187.0162691,9.8036952,0.001825,547.12123585,UUN,G,"IR,UV,Xray",328,4,109,54,29,8,16,32,22,5
157,IC 0794,12h28m08.5965s,+12d05m35.739s,187.035819,12.093261,0.006408,1921.070070864,UUN,G,"IR,UV,Vis",126,2,74,36,25,14,1,6,13,2
158,IC 3383,12h28m12.3216s,+10d17m51.439s,187.05134,10.297622,0.006030148,1807.79289102378,SLS,G,"IR,UV,Vis",102,1,71,33,20,11,7,7,3,1
159,IC 3381,12h28m14.9003s,+11d47m22.990s,187.0620848,11.7897196,0.002197,658.644030226,UUN,G,"IR,UV,Vis",168,4,105,49,29,15,11,15,12,1
160,NGC 4449,12h28m11.1237s,+44d05m37.197s,187.046349,44.093666,0.00069,206.85679602,SUN,G,"IR,Radio,Xray",852,22,154,75,36,12,15,49,72,8
161,IC 3388,12h28m28.0600s,+12d49m25.233s,187.1169168,12.8236759,0.00569794187417483,1708.2,SUN,G,"IR,UV,Vis",81,0,70,26,20,10,4,6,2,2
162,NGC 4452,12h28m43.2960s,+11d45m18.196s,187.1804001,11.7550547,0.00053980894,161.830648972975,SLS,G,"IR,UV,Vis",219,4,122,39,23,15,5,25,16,5
163,NGC 4458,12h28m57.5592s,+13d14m30.892s,187.2398302,13.2419146,0.002258,676.931370164,UUN,G,"IR,Vis",433,11,171,47,32,11,30,41,31,3
164,NGC 4459,12h29m00.0386s,+13d58m42.879s,187.2501611,13.9785776,0.003976,1191.974813008,UUN,G,"IR,UV,Xray",561,17,178,69,40,10,18,34,23,5
165,NGC 4464,12h29m21.3067s,+08d09m23.956s,187.3387783,8.1566547,0.0041459999,1242.93950088875,SUN,G,"IR,UV,Xray",252,6,124,38,21,15,10,21,3,1
166,NGC 4473,12h29m48.8798s,+13d25m45.910s,187.4536659,13.4294195,0.00748499995,2243.94653314038,SUN,G,"IR,UV,Xray",665,16,193,67,50,7,35,39,42,6
167,NGC 4474,12h29m53.5558s,+14d04m06.981s,187.4731494,14.0686059,0.005374,1611.084669292,UUN,G,"IR,UV",295,5,103,49,35,12,11,31,10,3
168,NGC 4476,12h29m59.0812s,+12d20m55.469s,187.4961718,12.3487415,0.00653752270178858,1959.9,SUN,G,"IR,Radio,UV,Vis,Xray",348,11,176,56,34,15,16,35,20,1
169,NGC 4482,12h30m10.3269s,+10d46m46.118s,187.5430288,10.7794774,0.006089,1825.436276762,UUN,G,"IR,UV,Vis",184,2,97,47,32,15,11,20,9,1
170,NGC 4478,12h30m17.4188s,+12d19m43.190s,187.5725785,12.3286641,0.00449999981,1349.06600403943,SUN,G,"IR,UV,Xray",494,10,135,50,31,11,37,45,23,4
171,NGC 4479,12h30m18.3777s,+13d34m39.539s,187.5765739,13.5776498,0.002827,847.513278766,SLS,G,"IR,UV,Vis,Xray",221,2,147,45,31,16,10,20,13,5
172,NGC 4483,12h30m40.6460s,+09d00m56.410s,187.6693587,9.0156697,0.0029470949,883.516824030264,SLS,G,"IR,Radio,UV,Vis",194,3,116,40,27,16,10,22,9,4
173,IC 3437,12h30m45.9078s,+11d20m35.469s,187.6912827,11.3431859,0.005799665,1738.69582592657,SLS,G,"IR,UV,Vis",66,0,65,25,14,8,0,2,3,0
174,NGC 4489,12h30m52.2485s,+16d45m31.768s,187.7177022,16.7588246,0.0031348628,939.808224304762,SLS,G,"IR,UV,Vis",270,3,110,47,31,12,20,30,8,2
175,NGC 4486A,12h30m57.7344s,+12d16m13.508s,187.74056,12.270419,0.002528,757.875333824,UUN,G,"IR,UV,Vis,Xray",202,9,73,39,22,7,7,15,2,1
176,IC 3442,12h31m20.2006s,+14d06m55.508s,187.8341694,14.1154189,0.004153,1245.038078074,UUN,G,"IR,UV,Vis,Xray",114,2,80,37,17,7,8,9,8,1
177,NGC 4494,12h31m24.1039s,+25d46m30.907s,187.85043291667,25.77525194444,0.004476,1341.871042008,UUN,G,"IR,Xray",472,15,113,50,36,7,32,41,17,5
178,IC 3457,12h31m51.3427s,+12d39m25.171s,187.963928,12.656992,0.00432599988,1296.9021373329,SUN,G,"IR,UV",104,3,57,26,16,8,0,4,12,1
179,IC 3461,12h32m02.7373s,+11d53m24.323s,188.0114058,11.8900899,0.00336,1007.30265888,UUN,G,"IR,UV,Vis",143,1,95,41,24,14,9,14,2,1
180,IC 3468,12h32m14.2605s,+10d15m05.360s,188.059419,10.251489,0.00433633323757598,1300.0,SLS,G,"IR,UV,Vis",148,1,88,47,30,15,10,15,9,1
181,IC 3470,12h32m23.4047s,+11d15m46.610s,188.0975198,11.2629474,0.004968,1489.368931344,UUN,G,"IR,UV,Vis,Xray",138,1,109,48,26,14,8,11,3,2
182,IC 0798,12h32m33.4101s,+15d24m55.515s,188.1392089,15.415421,0.0014296122,428.586955424788,SLS,G,"IR,UV,Vis",110,1,73,40,23,6,7,8,3,1
183,NGC 4515,12h33m04.9748s,+16d15m55.927s,188.2707287,16.2655353,0.0031842524,954.614853888399,SLS,G,"IR,UV,Vis",161,2,92,33,20,10,9,16,4,1
184,IC 3487,12h33m13.4497s,+09d23m49.876s,188.3060405,9.397188,0.00358247838242815,1074.0,SLS,G,"IR,UV,Vis",91,1,88,33,19,11,6,6,3,1
185,IC 3490,12h33m13.9287s,+10d55m42.910s,188.3080365,10.9285863,0.00089394895,267.999153047019,SLS,G,"IR,UV,Vis",80,1,54,25,17,6,6,8,1,1
186,UGC 07707,12h33m18.4739s,+17d27m34.006s,188.3269747,17.4594462,0.0038772833,1162.38029086935,SLS,G,"IR,UV,Vis",27,1,37,15,8,5,0,2,1,0
187,VCC 1514,12h33m37.6994s,+07d52m15.853s,188.4070812,7.8710705,0.001795,538.12746211,SUN,G,IR,43,0,21,18,12,2,0,2,2,1
188,IC 3501,12h33m51.6208s,+13d19m20.772s,188.4650868,13.3224369,0.005388,1615.281763704,UUN,G,"IR,UV,Vis",115,1,100,39,24,12,8,8,3,1
189,NGC 4526,12h34m03.0285s,+07d41m56.904s,188.512619,7.69914,0.002058,616.972878564,UUN,G,"IR,Radio,UV,Xray",844,14,145,68,53,8,37,52,36,6
190,NGC 4528,12h34m06.0679s,+11d19m16.507s,188.525283,11.3212521,0.004597,1378.145929426,UUN,G,"IR,UV,Xray",211,3,121,45,23,10,13,20,14,2
191,IC 3509,12h34m11.5395s,+12d02m56.167s,188.5480813,12.0489353,0.00691511725755289,2073.1,UUN,G,"IR,Vis",124,1,84,38,24,10,8,9,3,1
192,IC 3540,12h35m27.2630s,+12d45m00.901s,188.8635961,12.7502503,0.0024633987,738.508351307005,SLS,G,"IR,Radio,UV,Vis",80,2,65,28,18,9,0,5,3,1
193,NGC 4550,12h35m30.5872s,+12d13m15.007s,188.877447,12.2208355,0.001531,458.982253198,UUN,G,"IR,UV,Xray",492,14,204,64,36,12,22,34,41,7
194,NGC 4551,12h35m37.9780s,+12d15m50.202s,188.9082418,12.2639451,0.003923,1176.085812734,UUN,G,"IR,UV",386,7,150,47,32,10,21,37,29,4
195,NGC 4565,12h36m20.7710s,+25d59m15.678s,189.086546,25.98768858,0.004276,1281.912550408,S1L,G,"IR,Radio,Xray",763,22,188,75,43,8,34,58,66,9
196,NGC 4564,12h36m26.9913s,+11d26m21.266s,189.1124641,11.4392408,0.0038089999,1141.90944254275,SUN,G,"IR,UV,Xray",618,15,154,60,45,8,29,40,23,4
197,NGC 4570,12h36m53.3732s,+07d14m47.637s,189.2223887,7.246566,0.005961,1787.062842138,UUN,G,"IR,UV,Xray",353,11,125,53,29,8,14,33,14,5
198,IC 3586,12h36m54.8535s,+12d31m12.550s,189.2285564,12.5201528,0.005726,1716.611614508,UUN,G,"IR,UV,Vis",116,1,87,46,26,12,7,8,3,1
199,NGC 4578,12h37m30.5560s,+09d33m18.248s,189.377317,9.555069,0.007645,2291.91334141,UUN,G,"IR,UV",313,6,88,46,27,8,22,31,14,4
200,NGC 4589,12h37m25.0125s,+74d11m30.968s,189.3542191,74.1919357,0.00660456908492341,1980.0,UUN,G,"IR,Radio,UV,Xray",292,14,141,48,29,8,15,24,10,3
201,VCC 1743,12h38m06.8049s,+10d04m56.446s,189.5283541,10.0823462,0.004266,1278.914625828,SUN,G,"IR,UV,Vis",86,1,78,28,15,10,3,3,2,1
202,IC 3612,12h39m04.7128s,+14d43m52.722s,189.769637,14.7313117,0.004172,1250.734134776,SLS,G,"IR,Vis",84,3,71,30,16,11,2,3,2,2
203,IC 3635,12h40m13.4018s,+12d52m29.695s,190.055841,12.8749153,0.00520503,1560.42873766374,SLS,G,"IR,UV,Vis",94,1,82,34,21,11,8,11,9,1
204,IC 3633,12h40m11.2656s,+09d53m45.981s,190.04694,9.896106,0.006580224,1972.70152715059,SLS,G,"IR,UV,Vis",93,1,75,33,20,10,3,3,2,1
205,NGC 4605,12h39m59.2733s,+61d36m33.400s,189.9969724,61.609278,0.000524203,157.152105860974,SLS,G,"IR,Radio,Vis",345,11,120,46,26,8,11,31,49,7
206,VCC 1833,12h40m19.6862s,+15d56m07.372s,190.0820261,15.9353811,0.0056877355,1705.14020599886,SLS,G,"IR,UV,Vis",81,1,79,33,20,11,7,7,3,1
207,IC 3647,12h40m53.1199s,+10d28m31.310s,190.221333,10.475364,0.002115,634.06104867,SUN,G,,79,2,21,22,11,8,0,4,8,0
208,IC 3651,12h40m52.8941s,+26d43m41.268s,190.2203923,26.72813,0.015743079,4719.65634989818,SLS,G,"IR,UV,Vis",63,1,56,18,13,10,2,5,2,1
209,IC 3652,12h40m58.5803s,+11d11m04.232s,190.2440846,11.1845089,0.0021,629.5641618,UUN,G,"IR,UV,Vis",139,1,93,46,25,14,8,11,3,1
210,IC 3653,12h41m15.7383s,+11d23m14.080s,190.3155763,11.3872445,0.0018585534,557.180292110257,SLS,G,"IR,UV,Vis",129,1,92,35,22,13,8,12,3,1
211,IC 3658,12h41m20.6352s,+14d42m01.969s,190.33598,14.700547,8.1931445e-05,24.5624292840418,SLS,G,"IR,UV,Vis",49,0,27,18,11,4,0,2,3,1
212,IC 3663,12h41m39.4086s,+12d14m50.881s,190.4142026,12.2474672,0.0030923213,927.054603452755,SLS,G,"IR,Vis",82,1,62,29,18,8,6,7,2,1
213,NGC 4612,12h41m32.7571s,+07d18m53.470s,190.3864879,7.3148528,0.005921,1775.071143818,UUN,G,"IR,Xray",244,9,127,46,29,10,11,32,16,4
214,UGC 07854,12h41m52.0923s,+09d24m12.290s,190.4670513,9.4034139,0.003236,970.128394088,UUN,G,"IR,Vis",90,1,43,31,14,3,3,3,3,1
215,IC 0809,12h42m08.6596s,+11d45m15.508s,190.536082,11.754308,0.000653,195.764475074,UUN,G,"IR,UV,Vis",125,1,58,38,24,10,8,12,9,1
216,NGC 4623,12h42m10.6925s,+07d40m37.141s,190.5445522,7.6769838,0.006027,1806.849144366,UUN,G,IR,221,4,81,36,22,8,14,24,14,2
217,NGC 4636,12h42m49.8264s,+02d41m16.080s,190.70761,2.6878,0.00312900008,938.050625065397,SUN,G,"IR,Radio,UV,Xray",881,21,167,74,75,11,36,46,33,12
218,IC 3693,12h42m58.0524s,+10d40m55.447s,190.7418853,10.6820686,0.005371675,1610.38765182715,SLS,G,"IR,Vis",68,2,24,22,16,0,2,2,1,0
219,NGC 4660,12h44m31.9820s,+11d11m25.846s,191.1332584,11.190513,0.003612,1082.850358296,UUN,G,"IR,UV,Xray",420,11,181,58,34,7,29,36,36,6
220,IC 3735,12h45m20.4163s,+13d41m33.334s,191.335068,13.692593,0.006066261,1818.61929605954,SLS,G,"IR,Vis",104,1,52,33,18,9,8,9,3,0
221,NGC 4673,12h45m34.6712s,+27d03m39.007s,191.3944635,27.0608353,0.0228560008,6852.05665988197,SUN,G,"IR,UV",109,4,59,21,18,10,1,9,2,2
222,IC 3773,12h47m15.3045s,+10d12m13.049s,191.813769,10.2036249,0.0036235284,1086.30648566881,SLS,G,"IR,UV,Vis",147,2,66,37,20,10,5,15,9,0
223,IC 3779,12h47m20.6664s,+12d09m58.938s,191.83611,12.1663717,0.0038863034,1165.08444881976,SLS,G,"IR,UV,Vis",96,1,87,34,19,10,7,8,3,1
224,NGC 4697,12h48m35.8882s,-05d48m02.310s,192.1495343,-5.8006418,0.00413999986,1241.14073414906,SUN,G,"IR,Xray",711,17,160,53,44,8,25,30,16,2
225,NGC 4754,12h52m17.5066s,+11d18m49.852s,193.0729442,11.3138478,0.004506,1350.864815748,UUN,G,"IR,UV,Xray",323,10,141,50,24,12,18,35,23,5
226,NGC 4762,12h52m55.9838s,+11d13m51.538s,193.233266,11.230983,0.003289,986.017394362,UUN,G,"IR,Xray",415,9,108,45,31,8,12,35,24,5
227,NGC 4816,12h56m12.1498s,+27d44m43.791s,194.0506245,27.7454976,0.0230616,6913.6937494128,SLS,G,"IR,UV",160,3,84,38,28,11,6,11,5,2
228,NGC 4839,12h57m24.3589s,+27d29m52.308s,194.3514957,27.4978634,0.0244769333056404,7338.0,SLS,G,"IR,Radio,UV,Vis,Xray",373,7,128,73,56,14,11,16,12,2
229,NGC 4840,12h57m32.8353s,+27d36m37.101s,194.386814,27.6103059,0.0201272575042565,6034.0,SLS,G,"IR,Radio,UV,Vis,Xray",150,1,111,41,38,14,2,4,2,1
230,NGC 4980,13h09m09.9984s,-28d38m30.588s,197.29166,-28.64183,0.004767,1429.110647286,SUN,G,"IR,Radio,Vis",77,3,61,29,23,18,4,8,8,3
231,ESO 269- G 058,13h10m33.2537s,-46d59m24.857s,197.638557228231,-46.9902380441205,0.00133425638079261,400.000000000001,UUN,G,"IR,UV",86,3,35,21,11,17,6,10,5,0
232,ESO 269- G?066,13h13m08.8000s,-44d53m24.000s,198.28666666667,-44.89,0.002615,783.95727767,SUN,G,,61,3,9,18,8,14,7,9,3,0
233,NGC 5018,13h13m01.0462s,-19d31m05.507s,198.2543592,-19.5181965,0.00939300004,2815.9505699857,UUN,G,"IR,UV,Xray",374,15,141,46,32,20,24,40,12,2
234,NGC 5102,13h21m57.6070s,-36d37m48.878s,200.49002916667,-36.63024388889,0.00155574294000418,466.4,SUN,G,"IR,Radio,Xray",353,9,94,34,29,18,19,38,21,5
235,ESO 509- G 008,13h26m44.1128s,-27d26m21.391s,201.6838034,-27.4392753,0.0352080017,10555.0933709112,SUN,G,"IR,Radio",62,1,36,18,17,17,3,5,4,1
236,ESO 444- G 046,13h27m56.8723s,-31d29m43.989s,201.986968,-31.4955525,0.046902,14060.865865116,SUN,G,"IR,Radio,UV,Xray",97,3,97,26,27,21,2,5,4,1
237,NGC 5170,13h29m48.7861s,-17d57m59.152s,202.4532754,-17.9664312,0.00500599993,1500.76102376253,UUN,G,"IR,Radio,Xray",187,11,99,34,24,19,24,36,14,3
238,IC 4296,13h36m39.0330s,-33d57m57.073s,204.1626375,-33.9658536111,0.012465,3736.91298897,UUN,G,"IR,Radio,UV,Xray",486,20,214,62,45,24,19,27,20,0
239,NGC 5237,13h37m39.1658s,-42d50m50.515s,204.413191,-42.8473654,0.001204,360.950119432,UUN,G,"IR,Radio",109,7,41,27,20,16,8,18,8,1
240,ESO 383- G 076,13h47m28.3821s,-32d51m54.017s,206.8682591,-32.8650049,0.0385829993,11566.8921971593,SUN,G,"IR,Radio,Xray",66,3,56,15,16,17,1,6,5,1
241,IC 4329,13h49m05.2969s,-30d17m44.786s,207.2720706,-30.295774,0.0151399998,4538.85775416151,SUN,G,"IR,UV,Xray",203,6,111,23,21,18,20,19,5,1
242,NGC 5322,13h49m15.2850s,+60d11m25.924s,207.3136877,60.1905346,0.005937,1779.867823146,UUN,G,"IR,Radio,UV,Xray",413,9,148,50,28,9,20,32,23,7
243,NGC 5557,14h18m25.7456s,+36d29m36.863s,214.6072737,36.4935732,0.010737,3218.871621546,UUN,G,"IR,UV",242,6,80,45,23,11,15,21,12,5
244,ESO 223- G 009,15h01m08.6000s,-48d17m30.600s,225.28583333333,-48.29183333333,0.00196135687976513,587.999999999999,UUN,G,"IR,Radio",81,3,21,16,13,5,5,16,6,2
245,NGC 5813,15h01m11.2416s,+01d42m07.128s,225.29684,1.70198,0.006525,1956.14578845,UUN,G,"IR,Radio,UV,Xray",586,16,231,62,53,14,17,30,26,4
246,NGC 5845,15h06m00.7834s,+01d38m01.699s,226.5032645,1.6338054,0.00555,1663.8481419,SUN,G,"IR,UV,Xray",366,10,131,47,33,14,4,17,10,2
247,ESO 274- G 001,15h14m13.4160s,-46d48m33.120s,228.5559,-46.8092,0.001741,521.938669378,UUN,G,"IR,Radio",115,3,48,30,19,16,11,18,12,2
248,UGC 09799,15h16m44.5070s,+07d01m18.078s,229.1854459,7.0216884,0.034547273,10357.011889867,SLS,G,"IR,Radio,UV,Vis,Xray",483,13,171,66,59,14,5,16,11,5
249,UGC 09958,15h39m39.0618s,+21d46m57.616s,234.9127578,21.7826711,0.041897718,12560.6198638108,SLS,G,"IR,UV,Vis,Xray",89,1,66,30,19,12,5,9,9,0
250,NGC 5982,15h38m39.8470s,+59d21m21.066s,234.6660295,59.3558517,0.0100640003,3017.11138724974,SUN,G,"IR,UV,Xray",315,15,136,37,27,11,21,29,10,4
251,UGC 10012,15h44m59.0550s,+36d06m34.361s,236.2460626,36.1095449,0.06629,19873.24204082,SUN,G,"IR,UV,Vis",70,1,46,24,17,11,2,4,8,0
252,NGC 6039,16h04m39.5784s,+17d42m03.035s,241.1649101,17.7008432,0.03561309,10676.5357880752,SLS,G,"IR,Vis,Xray",73,0,81,20,23,10,2,7,8,1
253,NGC 6086,16h12m35.5454s,+29d29m05.284s,243.1481059,29.4848013,0.031308993103489,9386.20000000002,SLS,G,"IR,Radio,UV,Xray",207,6,83,31,34,12,10,12,10,0
254,ESO 137- G 018,16h20m58.5532s,-60d29m28.496s,245.243972,-60.491249,0.002018,604.981180244,UUN,G,"IR,Radio",71,3,31,23,14,14,5,10,9,2
255,NGC 6160,16h27m41.1202s,+40d55m37.106s,246.9213345,40.926974,0.031727713,9511.72906698855,SLS,G,"IR,Radio,Vis,Xray",110,3,65,30,22,10,8,10,8,1
256,SN 2009fv HOST,16h29m44.8867s,+40d48m42.021s,247.4370282,40.8116727,0.0293369621726775,8795.00000000001,SLS,G,"IR,Radio,Vis,Xray",203,6,124,53,53,19,15,16,11,2
257,NGC 6384,17h32m24.2834s,+07d03m37.757s,263.1011809,7.0604882,0.00555399992,1665.0472877486,SUN,G,"IR,Radio",362,14,91,33,33,8,23,40,27,4
258,NGC 6482,17h51m48.7777s,+23d04m18.696s,267.9532405,23.0718602,0.0128208695630362,3843.60000000001,SLS,G,"IR,Xray",208,8,105,44,30,9,3,8,13,2
259,NGC 6703,18h47m18.8182s,+45d33m02.416s,281.8284093,45.5506711,0.007565,2267.92994477,S1L,G,IR,237,7,91,33,25,8,19,22,5,5
260,ESO 185-IG 013,19h45m00.5167s,-54d15m02.778s,296.252153,-54.2507718,0.018633,5586.032869914,SLS,G,"IR,Radio,UV",52,1,63,13,7,12,0,2,5,2
261,ESO 461- G 036,20h03m57.3000s,-31d40m53.600s,300.98875,-31.68155555556,0.001425,427.20425265,S1L,G,Radio,61,2,19,20,11,10,3,6,6,0
262,NGC 6946,20h34m52.3236s,+60d09m14.094s,308.718015,60.153915,0.000133425638079261,40.0000000000001,UUN,G,"IR,Radio,Xray",1947,30,264,113,53,12,32,57,134,60
263,NGC 7014,21h07m52.1460s,-47d10m44.132s,316.9672753,-47.1789256,0.0162010007,4856.93782191272,SUN,G,IR,110,6,60,14,15,17,18,20,5,1
264,NGC 7049,21h19m00.2764s,-48d33m43.498s,319.7511517,-48.562083,0.00762199983,2285.01806391128,SUN,G,"IR,Radio,UV,Xray",159,6,95,24,17,17,9,21,10,0
265,NGC 7173,22h02m03.1723s,-31d58m25.313s,330.513218,-31.9736981,0.00832900032,2496.97147861559,SUN,G,"IR,Xray",145,5,77,23,22,18,17,20,6,1
266,IC 5176,22h14m55.8990s,-66d50m58.348s,333.7329125,-66.8495412,0.005831,1748.089822598,UUN,G,"IR,Radio",109,1,69,26,19,16,27,31,15,3
267,SN 2014C HOST,22h37m04.0624s,+34d24m56.721s,339.266927,34.415756,0.00272188301681692,816.0,UUN,G,"IR,Radio,Xray",1112,30,280,95,59,8,54,66,127,17
268,NGC 7332,22h37m24.5463s,+23d47m53.773s,339.3522763,23.7982705,0.003993,1197.071284794,UUN,G,"IR,Radio,UV",359,11,92,35,26,8,14,24,10,4
269,NGC 7457,23h00m59.9105s,+30d08m41.854s,345.2496274,30.1449596,0.002815,843.91576927,UUN,G,"IR,UV,Xray",426,16,124,46,34,7,12,16,15,4
270,NGC 7626,23h20m42.5340s,+08d13m00.958s,350.1772251,8.2169329,0.0113580003,3405.04282790174,SUN,G,"IR,Radio,Vis,Xray",463,21,133,45,38,11,39,25,13,2
271,NGC 7768,23h50m58.5460s,+27d08m50.415s,357.7439418,27.1473376,0.026708477102516,8006.99999999999,SLS,G,IR,193,5,56,20,25,7,9,17,2,0
272,NGC 7793,23h57m49.7301s,-32d35m27.579s,359.4572088,-32.5909942,0.000748517829624653,224.4,SUN,G,"IR,Radio,Xray",935,16,227,91,49,19,49,54,123,28
273,NGC 3226,10h23m27.0060s,+19d53m54.814s,155.8625253,19.8985595,0.004386,1314.889720788,UUN,G,"IR,Radio,Xray",406,16,160,56,38,15,11,32,34,5
274,NGC 4435,12h27m40.5053s,+13d04m44.486s,186.9187721,13.07902392,0.002638,790.852504204,UUN,G,"IR,Radio,Xray",450,12,190,67,32,14,14,30,26,5
275,MESSIER 060,12h43m39.9948s,+11d33m09.402s,190.9166453,11.5526118,0.003703,1110.131471974,UUN,G,"IR,Radio,Xray",1092,19,192,82,67,15,46,59,41,6
276,MESSIER 051,13h29m56.2000s,+47d13m50.000s,202.48416666667,47.23055555556,0.002,599.584916,SLS,GPair,"IR,Radio",844,11,37,7,7,0,50,3,74,1
277,UGC 08638,13h39m19.5000s,+24d46m30.800s,204.83125,24.77522222222,0.000914999982,274.310093673736,SUN,G,,88,3,27,28,16,4,4,10,17,3
278,MESSIER 101,14h03m12.5441s,+54d20m56.220s,210.80226708333,54.34895,0.000804,241.033136232,S1L,G,"IR,Radio,Vis,Xray",2016,28,206,105,50,13,116,132,147,14
