No.,Object Name,RA-s,Dec-s,RA,Dec,Redshift (z),cz,z flag,Phys Type,EM Region,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
279,UGC 10143,16h02m17.0215s,+15d58m29.184s,240.5709232,15.9747734,0.03534802,10597.0698012332,SLS,G,"IR,Radio,UV,Vis",127,4,74,28,30,11,7,11,9,2
280,NGC 6041A,16h04m35.8151s,+17d43m17.914s,241.1492297,17.7216428,0.0350876,10518.9978493208,SLS,G,"IR,UV,Vis,Xray",75,2,82,23,19,9,9,9,3,1
281,NGC 7727,23h39m53.7986s,-12d17m34.407s,354.974160871972,-12.2928909008611,0.00598714194471163,1794.9,UUN,G,"IR,Xray",211,7,64,28,18,7,5,26,26,3
282,NGC 1380,03h36m27.5701s,-34d58m33.721s,54.1148758,-34.9760337,0.0062643337078213,1878.0,UUN,G,"IR,UV,Xray",540,8,134,44,26,23,39,46,21,2
283,NGC 1380A,03h36m47.4854s,-34d44m22.494s,54.1978561,-34.7395817,0.0053070047546026,1591.0,UUN,G,"IR,UV",147,5,63,32,24,20,10,18,7,1
284,NGC 1380B,03h37m08.9651s,-35d11m41.987s,54.2873549,-35.1949966,0.00598413986785485,1794.0,UUN,G,"IR,UV,Xray",138,4,96,32,16,20,9,14,7,0
285,NGC 3258,10h28m53.5569s,-35d36m19.878s,157.2231539,-35.6055219,0.0096,2878.0075968,SUN,G,"IR,Radio,UV,Vis",192,7,81,24,21,19,37,29,6,1
286,NGC 3377,10h47m42.3314s,+13d59m09.297s,161.92638083333,13.98591583333,0.00221386489983014,663.700000000001,SST,G,"IR,Xray",710,16,132,56,39,13,39,45,21,4
287,NGC 3557,11h09m57.6396s,-37d32m21.037s,167.490165,-37.539177,0.01027,3078.86854366,SUN,G,"IR,Radio,UV,Xray",286,13,150,43,35,23,20,21,9,2
288,UGC 07399A,12h20m48.7569s,+17d29m14.139s,185.203154,17.487261,0.004711,1412.322269638,UUN,G,,99,1,19,28,14,2,8,10,2,0
289,NGC 4486B,12h30m31.9695s,+12d29m24.596s,187.6332065,12.4901658,0.00518700015,1555.02352461487,SUN,G,"IR,UV,Xray",311,9,120,45,30,13,10,22,11,2
290,MESSIER 087,12h30m49.4233s,+12d23m28.043s,187.705930779167,12.3911232583333,0.004283,1284.011097614,UUN,G,"Gamma,IR,Radio,UV,Vis,Xray",3579,55,506,135,142,14,118,96,194,21
291,NGC 4437,12h32m45.5531s,+00d06m55.109s,188.1898049,0.1153083,0.003756,1126.020472248,S1L,G,"IR,Radio,Xray",327,6,91,68,41,7,27,45,24,7
292,NGC 4638,12h42m47.4334s,+11d26m33.099s,190.6976395,11.4425276,0.003843,1152.102416094,UUN,G,"IR,Xray",304,9,127,48,27,15,16,28,13,5
293,NGC 5193,13h31m53.5357s,-33d14m03.441s,202.9730654,-33.2342893,0.012379,3711.130837582,SUN,G,"IR,UV,Xray",121,5,58,22,21,17,18,28,5,1
294,NGC 5846,15h06m29.2320s,+01d36m22.644s,226.6218,1.60629,0.005711,1712.114727638,UUN,G,"IR,Radio,UV,Xray",774,23,189,69,77,11,24,44,21,6
295,NGC 5866,15h06m29.4988s,+55d45m47.568s,226.62291166667,55.76321333333,0.002518,754.877409244,UUN,G,"IR,Radio,Xray",579,24,277,79,51,7,11,36,92,12
296,UGC 10187 NED01,16h05m26.4408s,+16d26m33.792s,241.36017,16.44272,0.0457420014,13713.1070335454,SUN,G,UV,41,0,4,12,17,1,3,6,1,0
297,UGC 10187 NED02,16h05m29.1872s,+16d26m09.140s,241.3716137,16.4358723,0.0440669991,13210.9539768728,SUN,G,"IR,Radio",66,1,60,18,20,10,3,7,8,0
298,NGC 6166,16h28m38.2450s,+39d33m04.233s,247.1593541666,39.5511758333,0.030354,9099.900270132,SUN,G,"Radio,Xray",674,26,190,43,50,9,20,22,15,15
299,NGC 6861,20h07m19.4707s,-48d22m12.445s,301.8311281,-48.3701236,0.00943700038,2829.14154006713,UUN,G,"IR,Radio,UV,Xray",197,6,111,34,27,20,10,19,10,1
300,NGC 7720,23h38m29.3830s,+27d01m53.258s,354.6224291666,27.0314605555,0.030221,9060.027873218,SUN,GPair,"IR,Radio,UV,Vis,Xray",486,18,138,44,45,5,30,30,15,3
301,UGC 03274 NED05,05h16m37.3496s,+06d26m27.202s,79.1556236,6.4408896,0.0272749998,8176.83923199151,SUN,G,"IR,Xray",23,1,13,10,4,0,0,3,2,0
302,CGCG 065-015,10h23m23.7559s,+12d50m06.305s,155.8489831,12.8350848,0.032457,9730.363809306,SUN,G,"IR,UV,Vis",61,0,67,27,20,8,2,2,2,1
303,NGC 4886,13h00m04.4533s,+27d59m15.338s,195.0185558,27.987594,0.0212513685050743,6371.00000000001,SLS,G,"IR,UV,Vis,Xray",176,3,78,34,33,6,10,7,1,0
304,NGC 4886:[WLQ2016] X0001,13h00m08.1308s,+27d58m36.907s,195.0338787,27.9769186,0.0215,6445.537847,SLS,G,"IR,Radio,Vis,Xray",593,12,214,68,60,15,72,37,26,3
305,NGC 4926,13h01m53.7321s,+27d37m27.941s,195.4738841,27.6244283,0.0262256,7862.2370865248,SLS,G,"IR,UV,Vis,Xray",197,4,110,44,35,10,9,15,18,5
306,NGC 0474,01h20m06.6862s,+03d24m55.809s,20.0278592,3.4155027,0.007722,2314.997360676,UUN,G,"IR,Radio,Xray",363,13,176,36,26,7,13,45,35,8
307,MESSIER 032,00h42m41.8511s,+40d51m55.413s,10.6743797,40.8653927,-0.00071,-212.85264518,SUN,G,"IR,Radio,Xray",1208,18,127,47,30,8,35,36,25,6
308,MESSIER 031,00h42m44.3503s,+41d16m08.634s,10.68479291667,41.269065,-0.000991,-297.094325878,SUN,G,"Gamma,IR,Radio,Xray",5509,23,176,66,50,13,407,199,302,5
309,NGC 0253,00h47m33.1300s,-25d17m17.100s,11.8880416666667,-25.2880833333333,0.000807,241.932513606,S1L,G,"Gamma,IR,Radio,UV,Xray",2004,31,386,126,78,22,32,53,75,26
310,Small Magellanic Cloud,00h52m44.8000s,-72d49m43.000s,13.1866666666667,-72.8286111111111,0.000485669322608509,145.6,UUN,G,"Gamma,Radio,Xray",4589,9,56,16,7,3,294,285,101,0
311,NGC 0541,01h25m44.3001s,-01d22m46.066s,21.434584,-1.379463,0.0180859994,5422.04621551253,SUN,G,"IR,Radio,Xray",189,8,94,34,28,10,21,21,9,0
312,MESSIER 033,01h33m50.8900s,+30d39m36.800s,23.46204166667,30.66022222222,-0.000597680145776049,-179.18,UUN,G,"IR,Radio,UV,Vis,Xray",2860,22,177,90,28,13,137,130,124,7
313,NGC 1275,03h19m48.1601s,+41d30m42.103s,49.9506671329167,41.5116954541667,0.01767,5297.33273286,SUN,G,"Gamma,IR,Radio,UV,Vis,Xray",2198,47,657,154,193,18,9,23,88,33
314,NGC 1313,03h18m16.0500s,-66d29m53.700s,49.566875,-66.49825,0.00156775124743131,469.999999999999,UUN,G,"IR,Radio,Xray",614,16,91,53,26,18,19,47,73,4
315,NGC 1316,03h22m41.7009s,-37d12m28.580s,50.673754,-37.207939,0.00601,1801.75267258,SUN,G,"Gamma,IR,Radio,UV,Vis,Xray",1049,26,297,75,76,24,106,90,75,7
316,NGC 1344,03h28m19.6219s,-31d04m05.337s,52.0817583,-31.0681493,0.00414,1241.14077612,SUN,G,"IR,Xray",218,6,84,22,21,19,34,36,10,1
317,NGC 1351,03h30m34.9897s,-34d51m14.600s,52.6457905,-34.8540558,0.00511020193843569,1532.0,UUN,G,"IR,UV",203,7,75,30,28,20,22,28,6,1
318,IC 0335,03h35m31.0816s,-34d26m49.307s,53.8795069,-34.4470298,0.00547712244315366,1642.0,UUN,G,"IR,UV",143,4,56,33,26,18,7,12,7,1
319,NGC 1427A,03h40m09.0000s,-35d37m34.000s,55.0375,-35.62611111111,0.00676399982,2027.79613194936,SUN,G,IR,113,5,36,28,19,15,3,24,8,2
320,NGC 1427,03h42m19.4434s,-35d23m33.043s,55.5810144,-35.3925122,0.0047833091251415,1434.0,UUN,G,"IR,UV,Xray",270,9,101,36,26,17,36,41,4,0
321,Large Magellanic Cloud,05h23m34.6000s,-69d45m22.000s,80.89416666667,-69.75611111111,0.000927000016,277.907613362679,SUN,G,"Gamma,Radio",8440,9,51,33,20,6,824,565,115,0
322,NGC 2832,09h19m46.8507s,+33d44m59.235s,139.9452113,33.7497875,0.023006,6897.025288748,SUN,G,"IR,Radio,Xray",280,8,125,42,33,12,12,22,13,3
323,MESSIER 081,09h55m33.1730s,+69d03m55.060s,148.8882210375,69.0652946122222,-0.00013,-38.97301954,UUN,G,"Gamma,IR,Radio,Vis,Xray",2846,48,294,123,75,8,99,117,200,56
324,NGC 3115,10h05m13.9780s,-07d43m06.891s,151.308242,-7.718581,0.00228691543667853,685.6,SST,G,"IR,Xray",818,20,123,50,50,6,35,48,19,4
325,MESSIER 105,10h47m49.6051s,+12d34m53.756s,161.9566882,12.581599,0.00302609347163764,907.200000000001,SST,G,"IR,Radio,UV,Xray",1148,22,290,61,48,11,58,56,41,7
326,MESSIER 108,11h11m30.9134s,+55d40m27.595s,167.878806,55.674332,0.002322,696.118087476,S1L,G,"IR,Radio,Xray",508,15,146,57,36,7,22,47,60,9
327,IC 3065,12h15m12.5574s,+14d25m58.816s,183.8023226,14.4330047,0.00331896274722161,994.999999999999,SLS,G,"IR,UV,Vis",114,1,88,42,28,14,8,10,3,1
328,IC 3131,12h18m50.9871s,+07d51m43.299s,184.7124466,7.8620276,0.005104,1530.140705632,UUN,G,"IR,UV,Vis",75,0,45,36,17,4,0,2,3,0
329,MESSIER 084,12h25m03.7432s,+12d53m13.138s,186.2655969175,12.8869829413889,0.003392,1016.896017536,UUN,G,"IR,Radio,UV,Xray",1693,41,359,107,88,7,62,79,47,7
330,MESSIER 085,12h25m24.0528s,+18d11m27.888s,186.35022,18.19108,0.00243199989,729.09522487883,SUN,G,"IR,UV,Xray",609,15,146,48,31,11,26,51,18,6
331,MESSIER 086,12h26m11.7508s,+12d56m46.291s,186.5489619,12.946192,-0.000747,-223.944966126,UUN,G,"IR,Radio,UV,Xray",850,16,143,62,51,7,53,60,33,5
332,MESSIER 049,12h29m46.7619s,+08d00m01.713s,187.44484125,8.00047583333,0.003272,980.920922576,UUN,G,"IR,Radio,UV,Xray",1470,27,270,84,74,11,68,69,33,5
333,MESSIER 089,12h35m39.8070s,+12d33m22.831s,188.9158625,12.5563419444,0.00113400002,339.964653367849,SUN,G,"IR,Radio,UV,Xray",899,26,334,83,56,16,47,54,63,12
334,MESSIER 104,12h39m59.4314s,-11d37m23.118s,189.9976312,-11.62308847,0.00363318012489827,1089.2,SLS,G,"IR,Radio,Xray",1080,25,357,108,57,7,31,43,135,25
335,MESSIER 059,12h42m02.2552s,+11d38m49.026s,190.5093968,11.6469518,0.001558,467.076649564,UUN,G,"IR,UV,Xray",698,17,220,62,40,11,46,47,46,6
336,IC 3959,12h59m08.2105s,+27d47m02.922s,194.7842106,27.784145,0.0234462202514781,7029.0,SLS,G,"IR,UV,Vis,Xray",179,1,77,35,37,10,7,9,2,0
337,CGCG 160-223,12h59m13.8892s,+28d04m34.909s,194.807872,28.0763637,0.0260446845530717,7808.0,SLS,G,"IR,UV,Vis,Xray",97,1,67,28,26,8,1,3,2,1
338,IC 3976,12h59m29.3961s,+27d51m00.687s,194.872484,27.850191,0.0226423307820506,6788.00000000001,SLS,G,"IR,Radio,Vis,Xray",151,1,77,45,42,9,0,5,2,0
339,NGC 4874,12h59m35.7199s,+27d57m33.325s,194.8988333,27.9592572,0.0239065387028516,7167.00000000001,SLS,G,"IR,Radio,Vis,Xray",683,17,131,75,70,11,70,36,11,1
340,NGC 4881,12h59m57.7514s,+28d14m47.580s,194.990631,28.24655,0.02237,6706.35728546,SLS,G,"IR,Xray",198,5,62,21,23,7,15,14,2,0
341,IC 4012,13h00m07.9784s,+28d04m43.440s,195.0332436,28.0787334,0.0241400335694903,7237.00000000001,SLS,G,"IR,UV,Vis",166,2,92,37,40,6,10,7,2,1
342,IC 4021,13h00m14.7454s,+28d02m29.260s,195.0614395,28.0414613,0.0191198939367581,5732.00000000001,SLS,G,"IR,Vis",168,3,87,38,38,10,11,8,2,0
343,IC 4026,13h00m22.1459s,+28d02m49.251s,195.0922749,28.0470143,0.0272688647824489,8174.99999999999,SLS,G,"IR,Vis",138,1,88,33,33,7,6,5,2,0
344,IC 4041,13h00m40.8572s,+27d59m47.774s,195.1702385,27.996604,0.0236363517857411,7086.00000000001,SLS,G,"IR,Vis",143,2,74,34,37,11,2,5,2,1
345,IC 4045,13h00m48.6527s,+28d05m26.656s,195.2027196,28.0907379,0.0232394105124553,6967.00000000001,SLS,G,"IR,Radio,Vis",191,2,83,38,41,11,6,7,2,0
346,IC 4051,13h00m51.5616s,+28d02m34.076s,195.21484,28.042799,0.0292383,8765.4218247414,SLS,G,"IR,Radio",169,4,116,27,28,10,1,6,21,3
347,NGC 5128,13h25m27.6150s,-43d01m08.806s,201.3650625,-43.0191127777,0.00182459560073389,546.999999999999,UUN,G,"Gamma,IR,Radio,Xray",2420,33,532,144,132,22,54,65,62,23
348,MESSIER 083,13h37m00.9500s,-29d51m55.500s,204.25395833333,-29.86541666667,0.001711,512.944895638,UUN,G,"IR,Radio,UV,Vis,Xray",1718,26,240,104,54,17,20,68,92,22
349,NGC 5907,15h15m53.2397s,+56d19m47.568s,228.97183208333,56.32988,0.002218,664.939671844,S1L,G,"IR,Radio,Xray",600,15,125,57,31,7,30,50,65,8
350,NGC 6822,19h44m57.7000s,-14d48m12.000s,296.240416666667,-14.8033333333333,-0.000183460252358984,-55.0000000000001,UUN,G,"IR,Radio",1007,16,103,50,23,6,127,62,46,33
351,NGC 7339,22h37m46.7208s,+23d47m10.608s,339.44467,23.78628,0.004466,1338.873117428,SUN,G,"IR,Radio",161,6,42,22,26,6,32,50,5,4
352,IC 1459,22h57m10.6070s,-36d27m43.996s,344.2941958333,-36.4622211111,0.006011,1802.052465038,S1L,G,"IR,Radio,UV,Xray",566,22,206,70,55,24,16,23,16,2
353,UGCA 444,00h01m58.1655s,-15d27m39.891s,0.4923563,-15.4610809,-0.000433633323757598,-130.0,UUN,G,"IR,Radio",585,11,72,56,19,6,45,42,50,4
354,MESSIER 110,00h40m22.0685s,+41d41m07.416s,10.0919524,41.6853935,-0.00080400001,-241.033139229925,SUN,G,IR,812,16,121,47,28,8,32,32,27,6
355,IC 3492,12h33m19.8019s,+12d51m12.438s,188.3325079,12.8534552,-0.0018042489,-540.900212574796,SLS,G,"IR,UV,Vis,Xray",82,2,63,30,14,9,5,9,2,2
356,MCG -06-08-024,03h31m08.2929s,-36d17m24.640s,52.784554,-36.2901779,0.00611089422403015,1832.0,UUN,G,"IR,UV",79,1,47,28,19,6,5,6,3,1
357,MCG -06-08-025,03h31m24.8330s,-35d19m51.411s,52.8534711,-35.3309477,0.004253,1275.017323874,SUN,G,"IR,UV",55,1,40,20,12,6,5,7,2,1
358,FCC 100,03h31m47.6000s,-35d03m06.000s,52.94833333333,-35.05166666667,0.005537,1659.950839946,SUN,G,,59,1,11,22,9,2,6,8,1,0
359,LSBG F358-061,03h32m47.6698s,-34d14m19.309s,53.1986244,-34.2386972,0.007082,2123.130187556,SUN,G,"IR,UV",61,1,39,28,15,4,5,7,2,1
360,FCC 119,03h33m33.8734s,-33d34m22.833s,53.3911393,-33.5730094,0.00470225305000835,1409.7,UUN,G,"IR,UV",59,2,26,15,13,2,4,7,2,1
361,MCG -06-08-027,03h34m29.4991s,-35d32m47.129s,53.6229131,-35.5464248,0.0040190001,1204.86591868125,SUN,G,"IR,UV",94,2,48,29,16,6,6,9,5,0
362,MCG -06-09-008,03h36m54.3204s,-35d22m28.780s,54.2263353,-35.3746611,0.00568760138722369,1705.1,UUN,G,"IR,UV",104,1,48,32,19,7,5,8,5,1
363,2MASX J12571157-1724344,12h57m11.5900s,-17d24m34.200s,194.29829166667,-17.4095,0.047476,14232.946736008,SUN,G,"IR,Radio,UV,Xray",87,2,65,36,27,8,1,5,2,1
364,2MASS J13220203-4232074,13h22m02.0392s,-42d32m07.400s,200.508497,-42.535389,0.0021308074401258,638.800000000001,UUN,G,IR,45,2,8,15,4,2,4,5,1,0
365,IC 3192,12h21m04.8007s,+11d45m16.556s,185.2700031,11.7545991,0.0048263688,1446.90896576651,SLS,G,"IR,UV,Vis",46,0,69,23,12,8,0,1,0,1
366,VCC 0503,12h21m50.2419s,+08d32m30.391s,185.4593414,8.5417755,0.0037230123,1116.13100858123,SLS,G,"IR,Vis",26,0,54,15,8,8,0,1,0,1
367,VCC 0529,12h22m08.5920s,+09d53m39.820s,185.5358,9.8943946,0.0033245683,996.680502445881,SLS,G,"IR,Vis",22,0,53,13,9,8,0,1,0,1
368,NGC 4309A,12h22m14.7326s,+07d10m01.723s,185.5613861,7.1671454,0.0025194404,755.309230300503,SLS,G,"IR,UV,Vis",77,1,84,33,16,10,3,4,2,2
369,VCC 0646,12h23m31.7904s,+17d47m40.174s,185.88246,17.794493,0.48235607,144606.71185652,SLS,G,"UV,Vis",16,0,26,10,4,4,0,2,0,0
370,VCC 0747,12h24m47.7744s,+08d59m29.283s,186.19906,8.9914677,0.003184,954.539186272,SLS,G,"IR,UV,Vis",29,0,58,20,10,8,0,1,0,1
371,IC 3361,12h26m54.4941s,+10d39m57.288s,186.727059,10.6659134,0.004254,1275.317116332,SLS,G,"IR,UV,Vis",45,0,62,20,13,8,0,1,1,1
372,NGC 4472 DW09,12h27m18.6888s,+08d12m46.378s,186.82787,8.212883,0.004891975,1466.57720972455,SLS,G,Vis,31,0,44,13,8,6,0,1,0,1
373,VCC 1077,12h28m10.2400s,+12d48m31.700s,187.04266666667,12.80880555556,0.00390937119572234,1172.0,UUN,G,"IR,UV",15,0,21,9,1,0,0,1,0,0
374,VCC 1105,12h28m27.4632s,+14d09m19.389s,187.11443,14.155386,0.81866163,245428.582327987,SLS,G,"IR,Vis",19,0,38,9,2,4,0,1,0,1
375,VCC 1107,12h28m30.4824s,+07d19m29.087s,187.12701,7.3247465,0.0052012294,1559.28934644787,SLS,G,"UV,Vis",39,0,54,17,10,8,0,1,1,2
376,MESSIER 087 DW07,12h29m23.5063s,+12d27m02.563s,187.3479433,12.450712,0.00149503427467812,448.200000000001,SUN,G,"IR,UV,Vis",107,1,68,33,19,8,7,9,3,1
377,VCC 1252,12h30m02.0000s,+09d28m26.100s,187.508333333333,9.47391666666667,0.00165447791218283,495.999999999999,UUN,G,IR,13,0,18,8,2,0,0,1,0,0
378,VIII Zw 189,12h30m05.0744s,+08d04m24.164s,187.5211435,8.073379,0.004503,1349.965438374,SUN,G,"IR,UV,Vis,Xray",90,2,87,33,18,10,1,4,4,2
379,VCC 1272,12h30m16.0100s,+13d18m27.100s,187.566708333333,13.3075277777778,0.01478,4430.93252924,S1L,G,Radio,19,0,7,13,7,0,0,1,0,3
380,VCC 1311,12h30m47.3185s,+07d36m19.881s,187.6971604,7.6055226,0.005029624,1507.84334177579,SLS,G,"IR,UV,Vis",30,0,68,23,13,8,0,1,1,1
381,NGC 4472 DW04,12h31m01.1091s,+07d43m23.696s,187.7546213,7.723249,0.004174,1251.333719692,SLS,G,"IR,Vis",30,0,53,15,8,8,0,1,0,1
382,VCC 1363,12h31m27.5100s,+10d56m08.700s,187.864625,10.93575,,,,G,,12,0,8,4,0,0,0,1,0,0
383,VCC 1512,12h33m34.6764s,+11d15m42.850s,188.394485,11.261903,0.0027998744,839.381228467275,SLS,G,"IR,UV,Vis",64,1,45,26,12,6,3,5,2,0
384,VCC 1530,12h33m55.6944s,+05d43m07.543s,188.48206,5.7187622,0.005834,1748.989199972,SLS,G,"IR,Vis",20,0,53,14,9,8,0,1,0,1
385,IC 3506,12h34m06.6968s,+12d44m29.258s,188.5279037,12.7414608,0.0050901880927238,1526.0,UUN,G,"IR,UV,Vis",106,1,82,35,21,8,8,9,1,1
386,IC 3519,12h34m38.3433s,+15d36m09.925s,188.6597641,15.6027572,0.001204,360.950119432,SUN,G,IR,39,0,18,14,9,0,0,1,0,0
387,VCC 1627,12h35m37.2608s,+12d22m55.246s,188.9052535,12.3820129,0.00094183616,282.355377439681,SLS,G,"IR,UV,Vis",104,2,73,36,22,6,3,4,3,1
388,VCC 1661,12h36m24.7906s,+10d23m04.591s,189.1032944,10.3846088,0.004734551,1419.38268181636,SLS,G,"IR,UV,Vis",92,1,64,26,16,8,7,7,1,1
389,LSBG F358-101,03h23m33.4000s,-36d59m02.000s,50.88916666667,-36.98388888889,0.00449310836231911,1347.0,UUN,G,,14,0,0,5,1,0,0,0,0,0
390,FCC 046,03h26m25.0370s,-37d07m40.684s,51.604321,-37.1279678,0.007405,2219.96315149,SUN,G,"IR,UV",41,0,31,21,6,2,0,1,1,0
391,FCC 059,03h27m46.6000s,-33d33m51.000s,51.94416666667,-33.56416666667,0.00449310836231911,1347.0,UUN,G,,10,0,0,3,1,0,0,0,0,0
392,FCC 146,03h35m11.6000s,-35d19m23.000s,53.79833333333,-35.32305555556,0.00441638862042353,1324.0,SUN,G,,26,0,11,16,1,0,0,1,0,0
393,FCC 150,03h35m24.0498s,-36d21m51.079s,53.8502078,-36.3641888,0.00671799993,2014.00571185853,SUN,G,"IR,UV",42,0,44,23,7,2,1,3,2,0
394,FCC 238,03h40m17.1000s,-36d32m05.000s,55.07125,-36.53472222222,0.00441638862042353,1324.0,SUN,G,UV,26,0,13,16,1,0,0,1,0,0
395,LSBG F358-082,03h40m20.5377s,-37d38m41.019s,55.08557381108,-37.64472757131,0.0053070047546026,1591.0,SUN,G,,22,0,2,13,2,0,0,1,0,0
396,FCC 246,03h40m37.7000s,-36d07m16.000s,55.15708333333,-36.12111111111,0.00441638862042353,1324.0,SUN,G,,26,0,11,17,2,0,0,1,0,0
397,LSBG F358-033,03h41m00.8432s,-35d44m33.333s,55.2535135,-35.7425925,0.005061,1517.249629938,SUN,G,"IR,UV",38,0,29,17,2,0,0,1,0,0
398,MCG -06-09-028,03h45m14.0795s,-36d56m11.863s,56.3086647,-36.9366288,0.006433,1928.564882314,UUN,G,IR,58,0,31,19,8,5,5,7,2,0
399,LSBG F359-072,03h47m01.3472s,-36d26m15.151s,56.7556134,-36.437542,0.005157,1546.029705906,SUN,G,IR,30,0,20,13,5,0,0,2,1,0
400,SDSS J131129.50-012027.9,13h11m29.5020s,-01d20m27.924s,197.872925,-1.34109,0.183186,54917.781211188,SLS,G,Xray,40,0,15,15,10,0,10,0,0,0
401,NGC 3551,11h09m44.4603s,+21d45m32.152s,167.4352514,21.7589312,0.031829,9542.094145682,UUN,G,"IR,Vis,Xray",85,1,65,27,18,9,3,4,2,1
402,WISEA J090919.21-094159.0,09h09m19.2110s,-09d41m59.035s,137.3300462,-9.699732,0.054291,16276.032337278,SLS,G,"IR,Radio,UV,Xray",42,0,38,18,14,2,1,3,2,0
403,WISEA J090832.37-093747.3,09h08m32.3739s,-09d37m47.377s,137.1348914,-9.6298272,0.054841,16440.918189178,SUN,G,"IR,UV",61,0,34,22,25,3,1,3,2,0
404,NGC 1023A,02h40m37.7300s,+39d03m27.000s,40.15720833333,39.0575,0.00247070925313271,740.699999999999,S1L,G,IR,43,0,13,14,10,2,0,3,5,0
405,SagDEG,18h55m19.5000s,-30d32m43.000s,283.83125,-30.545278,0.000466989733277413,140.0,SUN,G,,515,1,2,13,8,0,66,49,0,0
406,NGC 6397:[JVH94] 01,17h44m41.0000s,-53d15m42.000s,266.17083333333,-53.26166666667,,,,,Xray,3,0,0,1,0,0,0,0,1,0
407,AM 0139-655 NED02,01h41m30.9804s,-65d36m56.112s,25.3790853,-65.6155868,0.027406,8216.112103948,UUN,G,"IR,Radio,UV",26,1,34,11,8,2,3,5,1,0
408,LSBC D640-11,10h51m01.5815s,+13d20m01.041s,162.7565899,13.3336227,0.0023396257,701.402139402971,SLS,G,"IR,UV,Vis",27,0,41,15,9,4,0,3,0,1
409,NGC 4073,12h04m27.0702s,+01d53m45.546s,181.1127927,1.8959851,0.019718653,5911.50345131907,SLS,G,"IR,UV,Vis,Xray",189,4,103,45,46,15,8,21,5,3
410,VCC 1167,12h29m14.6550s,+07d52m38.711s,187.3110628,7.8774199,0.0051509286,1544.2095459765,SLS,G,"IR,Vis,Xray",43,0,78,25,13,9,0,1,1,1
411,FCC 174,03h36m45.4485s,-33d00m50.231s,54.1893691,-33.0139532,0.005487,1644.961217046,SUN,G,"IR,UV",25,0,22,16,4,0,0,1,0,0
412,FCC 189,03h37m08.1899s,-34d43m52.336s,54.2841249,-34.7312047,0.103553,31044.408403274,SUN,G,"IR,UV",20,0,20,12,1,0,0,1,0,0
413,PGC1 0046957 NED024,13h22m12.6000s,-42d43m43.100s,200.5525,-42.72863888889,0.00183526965178023,550.199999999999,UUN,G,,31,1,2,13,2,0,3,2,0,0
414,PGC1 0028630 NED014,10h08m06.0000s,+68d23m57.300s,152.025,68.39925,-0.000466989733277413,-140.0,UUN,G,,59,1,10,17,5,0,4,5,15,0
415,VCC 0896,12h26m22.6104s,+12d47m11.594s,186.59421,12.786554,0.0070568819980121,2115.6,SUN,G,"IR,UV,Vis",35,0,37,18,9,4,0,1,0,1
416,VCC 0240,12h17m31.2600s,+14d21m21.200s,184.38025,14.35588888889,0.00383598709477875,1150.0,SUN,G,,18,0,20,8,1,4,0,1,0,0
417,VCC 1714,12h37m24.9432s,+14d18m45.424s,189.35393,14.312618,-0.00027073626,-81.1646888551271,SLS,G,"IR,UV,Vis",13,0,40,10,2,4,0,1,0,1
